    LAYER  SECTOR    WIRE      GAIN
        2       9       8    0.004758
        2       9       9    0.004521
        2       9      10    0.004990
        2      10       0    0.004211
        2      10       1    0.004580
        2      10       2    0.004586
        2      10       3    0.004708
        2      10       4    0.004900
        2      10       5    0.005636
        2      10       6    0.005041
        2      10       7    0.003774
        2      10       8    0.004101
        2      10       9    0.004266
        2      10      10    0.004268
        2      11       0    0.003889
        2      11       1    0.004908
        2      11       2    0.004327
        2      11       3    0.004723
        2      11       4    0.004137
        2      11       5    0.005264
        2      11       6    0.004655
        2      11       7    0.003942
        2      11       8    0.003851
        2      11       9    0.003988
        2      11      10    0.004434
        2      12       0    0.004117
        2      12       1    0.004835
        2      12       2    0.005081
        2      12       3    0.004378
        2      12       4    0.005082
        2      12       5    0.004977
        2      12       6    0.005479
        2      12       7    0.004703
        2      12       8    0.004817
        2      12       9    0.005430
        2      12      10    0.005109
        2      13       0    0.004006
        2      13       1    0.005109
        2      13       2    0.004781
        2      13       3    0.005198
        2      13       4    0.005774
        2      13       5    0.004614
        2      13       6    0.006421
        2      13       7    0.004340
        2      13       8    0.004392
        2      13       9    0.005303
        2      13      10    0.004791
        2      14       0    0.005155
        2      14       1    0.005869
        2      14       2    0.006074
        2      14       3    0.006393
        2      14       4    0.005976
        2      14       5    0.005637
        2      14       6    0.004776
        2      14       7    0.003674
        2      14       8    0.003716
        2      14       9    0.004589
        2      14      10    0.004531
        2      15       0    0.004832
        2      15       1    0.005775
        2      15       2    0.004977
        2      15       3    0.006053
        2      15       4    0.005406
        2      15       5    0.005693
        2      15       6    0.004861
        2      15       7    0.004227
        2      15       8    0.004552
        2      15       9    0.005338
        2      15      10    0.005213
        2      16       0    0.004751
        2      16       1    0.005619
        2      16       2    0.005360
        2      16       3    0.005730
        2      16       4    0.005996
        2      16       5    0.004944
        2      16       6    0.004186
        2      16       7    0.004100
        2      16       8    0.004132
        2      16       9    0.003965
        2      16      10    0.003987
        2      17       0    0.004263
        2      17       1    0.004884
        2      17       2    0.004806
        2      17       3    0.005266
        2      17       4    0.004983
        2      17       5    0.005156
        2      17       6    0.005041
        2      17       7    0.005048
        2      17       8    0.004378
        2      17       9    0.004811
        2      17      10    0.004923
        2      18       0    0.004611
        2      18       1    0.005236
        2      18       2    0.005043
        2      18       3    0.005228
        2      18       4    0.004895
        2      18       5    0.006770
        2      18       6    0.004606
        2      18       7    0.004589
        2      18       8    0.004864
        2      18       9    0.004553
        2      18      10    0.004605
        2      19       0    0.004353
        2      19       1    0.005383
        2      19       2    0.004999
        2      19       3    0.004999
        2      19       4    0.005714
        2      19       5    0.005314
        2      19       6    0.005931
        2      19       7    0.004306
        2      19       8    0.003887
        2      19       9    0.005480
        2      19      10    0.005177
        2      20       0    0.004489
        2      20       1    0.005805
        2      20       2    0.004679
        2      20       3    0.005594
        2      20       4    0.004585
        2      20       5    0.005154
        2      20       6    0.004545
        2      20       7    0.004866
        2      20       8    0.004494
        2      20       9    0.005139
        2      20      10    0.004558
        2      21       0    0.004651
        2      21       1    0.005330
        2      21       2    0.004858
        2      21       3    0.004718
        2      21       4    0.005577
        2      21       5    0.005074
        2      21       6    0.005008
        2      21       7    0.004403
        2      21       8    0.003784
        2      21       9    0.004810
        2      21      10    0.004621
        2      22       0    0.004315
        2      22       1    0.005415
        2      22       2    0.005833
        2      22       3    0.005537
        2      22       4    0.005040
        2      22       5    0.006210
        2      22       6    0.006165
        2      22       7    0.003962
        2      22       8    0.004052
        2      22       9    0.004737
        2      22      10    0.004798
        2      23       0    0.004594
        2      23       1    0.004921
        2      23       2    0.005768
        2      23       3    0.005076
        2      23       4    0.004621
        2      23       5    0.006706
        2      23       6    0.005941
        2      23       7    0.004641
        2      23       8    0.004769
        2      23       9    0.004847
        2      23      10    0.004035
        2      24       0    0.004271
        2      24       1    0.004809
        2      24       2    0.004463
        2      24       3    0.004504
        2      24       4    0.005223
        2      24       5    0.005773
        2      24       6    0.004555
        2      24       7    0.003919
        2      24       8    0.004184
        2      24       9    0.004566
        2      24      10    0.005001
        2      25       0    0.004473
        2      25       1    0.004996
        2      25       2    0.004466
        2      25       3    0.005580
        2      25       4    0.005376
        2      25       5    0.005364
        2      25       6    0.004994
        2      25       7    0.004391
        2      25       8    0.003843
        2      25       9    0.004832
        2      25      10    0.004249
        2      26       0    0.004236
        2      26       1    0.004749
        2      26       2    0.005188
        2      26       3    0.004911
        2      26       4    0.004463
        2      26       5    0.005426
        2      26       6    0.004742
        2      26       7    0.003997
        2      26       8    0.003607
        2      26       9    0.004725
        2      26      10    0.004348
        2      27       0    0.004219
        2      27       1    0.004379
        2      27       2    0.005047
        2      27       3    0.004938
        2      27       4    0.004524
        2      27       5    0.004778
        2      27       6    0.005315
        2      27       7    0.004257
        2      27       8    0.004178
        2      27       9    0.004572
        2      27      10    0.004823
        2      28       0    0.004639
        2      28       1    0.005430
        2      28       2    0.004860
        2      28       3    0.004440
        2      28       4    0.004776
        2      28       5    0.004745
        2      28       6    0.004377
        2      28       7    0.004726
        2      28       8    0.004152
        2      28       9    0.004757
        2      28      10    0.004419
        2      29       0    0.004546
        2      29       1    0.005451
        2      29       2    0.004467
        2      29       3    0.004624
        2      29       4    0.005595
        2      29       5    0.005856
        2      29       6    0.005951
        2      29       7    0.005112
        2      29       8    0.004648
        2      29       9    0.005837
        2      29      10    0.005331
        2      30       0    0.004129
        2      30       1    0.004763
        2      30       2    0.004706
        2      30       3    0.005048
        2      30       4    0.004585
        2      30       5    0.005060
        2      30       6    0.004352
        2      30       7    0.004013
        2      30       8    0.004088
        2      30       9    0.004277
        2      30      10    0.004290
        2      31       0    0.004482
        2      31       1    0.004480
        2      31       2    0.004518
        2      31       3    0.005164
        2      31       4    0.004952
        2      31       5    0.005054
        2      31       6    0.004870
        2      31       7    0.004371
        2      31       8    0.004027
        2      31       9    0.004871
        2      31      10    0.004365
        3       0       0    0.005635
        3       0       1    0.006669
        3       0       2    0.004985
        3       0       3    0.004503
        3       0       4    0.005688
        3       0       5    0.004520
        3       0       6    0.005961
        3       0       7    0.004400
        3       0       8    0.003985
        3       0       9    0.004732
        3       0      10    0.005465
        3       1       0    0.004860
        3       1       1    0.004817
        3       1       2    0.005132
        3       1       3    0.005055
        3       1       4    0.004800
        3       1       5    0.006119
        3       1       6    0.005555
        3       1       7    0.004043
        3       1       8    0.003908
        3       1       9    0.004837
        3       1      10    0.005573
        3       2       0    0.004707
        3       2       1    0.005143
        3       2       2    0.004676
        3       2       3    0.005390
        3       2       4    0.005561
        3       2       5    0.005051
        3       2       6    0.005124
        3       2       7    0.004655
        3       2       8    0.004545
        3       2       9    0.005657
        3       2      10    0.005685
        3       3       0    0.004715
        3       3       1    0.005136
        3       3       2    0.005064
        3       3       3    0.004864
        3       3       4    0.005286
        3       3       5    0.005277
        3       3       6    0.005322
        3       3       7    0.004889
        3       3       8    0.004406
        3       3       9    0.005520
        3       3      10    0.005645
        3       4       0    0.004995
        3       4       1    0.005632
        3       4       2    0.004887
        3       4       3    0.005281
        3       4       4    0.005108
        3       4       5    0.005911
        3       4       6    0.005569
        3       4       7    0.004339
        3       4       8    0.004807
        3       4       9    0.005663
        3       4      10    0.006435
        3       5       0    0.005303
        3       5       1    0.004989
        3       5       2    0.005376
        3       5       3    0.005721
        3       5       4    0.005078
        3       5       5    0.005128
        3       5       6    0.005710
        3       5       7    0.004752
        3       5       8    0.004826
        3       5       9    0.005925
        3       5      10    0.006657
        3       6       0    0.005381
        3       6       1    0.006693
        3       6       2    0.005390
        3       6       3    0.004778
        3       6       4    0.006306
        3       6       5    0.005229
        3       6       6    0.005798
        3       6       7    0.005840
        3       6       8    0.005315
        3       6       9    0.005711
        3       6      10    0.005594
        3       7       0    0.005553
        3       7       1    0.005528
        3       7       2    0.005062
        3       7       3    0.005315
        3       7       4    0.004919
        3       7       5    0.005339
        3       7       6    0.006083
        3       7       7    0.005847
        3       7       8    0.004885
        3       7       9    0.005431
        3       7      10    0.005154
        3       8       0    0.004598
        3       8       1    0.005089
        3       8       2    0.005063
        3       8       3    0.004934
        3       8       4    0.005092
        3       8       5    0.005037
        3       8       6    0.006176
        3       8       7    0.004440
        3       8       8    0.004623
        3       8       9    0.005913
        3       8      10    0.005675
        3       9       0    0.004882
        3       9       1    0.004822
        3       9       2    0.004961
        3       9       3    0.005002
