 Module   5                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 -----------------------------
 999|  26|   0|   0|  0.0000|  2.3430|   1366.1110
 149|  26|   0|   7|261.0000|  2.4010|   1349.5400
 212|  26|   1|   0|270.0000|  2.3190|   1395.6639
 239|  26|   1|   7|  0.0000|  2.2980|   1423.5740
 240|  26|   2|   0|  0.0000|  2.3170|   1386.2050
 226|  26|   2|   7|267.0000|  2.3620|   1394.2690
 999|  26|   3|   0|  0.0000|  2.3400|   1394.5480
  79|  26|   3|   7|  0.0000|  2.3540|   1424.4280
 Module  27                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  27|   0|   0|  0.0000|  2.3660|   1397.0601
 999|  27|   0|   7|  0.0000|  2.3210|   1401.8180
 999|  27|   1|   0|  0.0000|  2.3400|   1402.0990
 220|  27|   1|   7|270.0000|  2.2910|   1386.7600
 154|  27|   2|   0|269.0000|  2.3530|   1389.8140
 999|  27|   2|   7|  0.0000|  2.3770|   1397.3400
 194|  27|   3|   0|269.0000|  2.3200|   1398.1780
 125|  27|   3|   7|265.0000|  2.3700|   1384.5430
 Module  28                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  28|   0|   0|  0.0000|  2.3270|   1389.2581
 216|  28|   0|   7|271.0000|  2.3050|   1412.2300
 999|  28|   1|   0|  0.0000|  2.3330|   1418.7419
 247|  28|   1|   7|  0.0000|  2.3110|   1435.0090
 130|  28|   2|   0|267.0000|  2.2110|   1361.2010
  95|  28|   2|   7|267.0000|  2.3490|   1388.1470
 306|  28|   3|   0|284.7291|  2.1800|   1390.3700
 999|  28|   3|   7|  0.0000|  2.3710|   1422.4351
 Module  29                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 117|  29|   0|   0|264.0000|  2.3920|   1410.2550
 228|  29|   0|   7|269.0000|  2.3130|   1399.5770
 999|  29|   1|   0|  0.0000|  2.3510|   1410.8190
 199|  29|   1|   7|275.0000|  2.3060|   1481.0940
 999|  29|   2|   0|  0.0000|  2.3490|   1389.8140
 114|  29|   2|   7|265.0000|  2.3820|   1404.6250
