    LAYER  SECTOR    WIRE      GAIN
        2       5       2    0.002007
        2       5       3    0.002202
        2       5       4    0.001794
        2       5       5    0.002378
        2       5       6    0.002310
        2       5       7    0.001636
        2       5       8    0.001792
        2       5       9    0.002204
        2       5      10    0.002197
        2       6       0    0.001598
        2       6       1    0.002271
        2       6       2    0.001852
        2       6       3    0.002084
        2       6       4    0.001594
        2       6       5    0.001997
        2       6       6    0.002422
        2       6       7    0.001734
        2       6       8    0.001605
        2       6       9    0.002105
        2       6      10    0.002275
        2       7       0    0.001515
        2       7       1    0.002058
        2       7       2    0.002060
        2       7       3    0.001936
        2       7       4    0.002090
        2       7       5    0.002473
        2       7       6    0.002181
        2       7       7    0.001990
        2       7       8    0.001814
        2       7       9    0.002608
        2       7      10    0.002141
        2       8       0    0.001544
        2       8       1    0.002111
        2       8       2    0.002051
        2       8       3    0.002044
        2       8       4    0.001832
        2       8       5    0.002244
        2       8       6    0.002400
        2       8       7    0.001655
        2       8       8    0.001590
        2       8       9    0.002093
        2       8      10    0.002096
        2       9       0    0.001455
        2       9       1    0.001982
        2       9       2    0.001849
        2       9       3    0.001649
        2       9       4    0.002066
        2       9       5    0.002080
        2       9       6    0.001966
        2       9       7    0.001670
        2       9       8    0.001791
        2       9       9    0.001773
        2       9      10    0.001938
        2      10       0    0.001484
        2      10       1    0.002295
        2      10       2    0.002041
        2      10       3    0.002062
        2      10       4    0.002121
        2      10       5    0.002128
        2      10       6    0.001942
        2      10       7    0.001580
        2      10       8    0.001637
        2      10       9    0.001993
        2      10      10    0.002160
        2      11       0    0.001256
        2      11       1    0.002169
        2      11       2    0.001719
        2      11       3    0.001795
        2      11       4    0.001820
        2      11       5    0.001903
        2      11       6    0.001601
        2      11       7    0.001530
        2      11       8    0.001542
        2      11       9    0.001975
        2      11      10    0.001906
        2      12       0    0.001543
        2      12       1    0.002267
        2      12       2    0.002283
        2      12       3    0.001858
        2      12       4    0.001625
        2      12       5    0.002195
        2      12       6    0.001744
        2      12       7    0.001713
        2      12       8    0.001820
        2      12       9    0.002128
        2      12      10    0.002252
        2      13       0    0.001512
        2      13       1    0.002230
        2      13       2    0.001813
        2      13       3    0.001882
        2      13       4    0.002336
        2      13       5    0.002274
        2      13       6    0.001933
        2      13       7    0.001521
        2      13       8    0.001624
        2      13       9    0.001826
        2      13      10    0.001898
        2      14       0    0.001670
